,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,0.469622,-1.105773,-0.183192,0.20294,0.893811,-0.399888,-2.191344,1.836105,-0.723019,-0.232847,-0.688916,0.381181
1,0.515396,-1.156214,-0.173921,0.198531,0.915285,-0.350474,-2.363008,1.90448,-1.155867,-0.057052,-0.607515,0.339946
2,0.557269,-1.211266,-0.162511,0.186069,0.936062,-0.298593,-2.559274,1.177604,-1.169257,0.08624,0.302249,-0.259253
3,0.601952,-1.255618,-0.113787,0.175522,0.950741,-0.255488,-2.081134,-1.058971,-0.112989,0.024963,0.770023,-0.537816
4,0.674214,-1.284314,0.008391,0.176399,0.959244,-0.220738,-2.415788,-2.580961,0.902503,0.011223,0.471664,-0.478298
5,0.789042,-1.309334,0.175902,0.183434,0.966013,-0.182102,-2.323046,-2.045872,0.742231,-0.274712,-0.026926,-0.468334
6,0.888567,-1.323441,0.307796,0.190021,0.969563,-0.154365,-1.249245,-0.965344,0.526157,-0.381076,-0.086629,-0.465173
7,0.951838,-1.321871,0.371508,0.200641,0.969178,-0.142924,-0.232958,0.864321,0.564026,-0.398807,-0.165116,0.046977
8,0.997962,-1.309422,0.361271,0.217141,0.966036,-0.140051,0.908643,3.891206,0.264747,0.055991,-0.037187,0.717413
9,1.008225,-1.297331,0.289135,0.228432,0.962841,-0.144035,1.155505,3.62122,-0.097447,-0.003914,0.164662,0.504051
10,1.03099,-1.304105,0.29055,0.226052,0.964648,-0.135443,-1.176092,-1.48612,-0.371039,0.617103,0.61128,-0.168299
11,0.932759,-1.300917,0.24686,0.214148,0.963803,-0.15879,1.032621,-2.368456,-0.34914,0.616693,0.589572,0.729103
12,0.92028,-1.302969,0.263966,0.210576,0.964348,-0.160252,-0.954839,-1.16164,0.342594,0.347927,0.668144,0.119465
13,0.979229,-1.305638,0.330554,0.217513,0.965051,-0.146132,-0.209684,0.617911,0.360474,-0.040771,0.122977,0.23329
14,1.016302,-1.297903,0.326629,0.22912,0.962995,-0.141896,0.243474,2.572667,0.240425,-0.140757,-0.075635,0.282994
15,1.059635,-1.291672,0.32546,0.240281,0.961297,-0.13477,0.114113,1.830503,0.269315,-0.168518,-0.117028,0.172596
16,1.083513,-1.28868,0.331724,0.24597,0.960469,-0.130341,-0.070265,0.303063,0.121501,-0.215636,-0.261051,-0.198089
17,1.087615,-1.288844,0.340765,0.246364,0.960514,-0.129258,-0.152581,-0.344853,-0.016044,-0.172969,-0.305012,-0.131866
18,1.087485,-1.291651,0.345092,0.243958,0.961291,-0.128036,-0.053948,-0.111457,-0.126749,-0.13263,-0.283801,-0.101411
19,1.081976,-1.292736,0.332787,0.242328,0.96159,-0.128888,0.246177,0.677916,-0.121391,-0.20119,-0.406506,0.069287
20,1.070776,-1.2921,0.298301,0.241406,0.961415,-0.131887,0.529619,1.17072,-0.262116,-0.181012,-0.345921,-0.352976
21,1.042781,-1.293113,0.250772,0.236777,0.961693,-0.138101,0.514643,0.783579,-0.403799,-0.071891,-0.276574,-0.238028
22,1.019268,-1.29322,0.20562,0.233377,0.961723,-0.143576,0.57734,1.137405,-0.230762,0.01525,-0.228477,-0.012278
23,0.999395,-1.284179,0.160066,0.237782,0.959206,-0.152882,0.861193,1.14624,0.243363,0.088969,-0.232338,-0.026653
